Row,Author,Paper,Location,Country,Mult.country,Habitat type,Moment,Species English,Species scientific,Host taxonomic class,Sampling method,Hosts studied,Host infested,Infestation prevalence,Total ticks,Mean abundance,Stages,Larvae on hosts,Mean larval abundance,Host infested with larvae,Nymphs on hosts,Mean nymphal abundance,Host infested with nymphs,Adults on hosts,Mean adult abundance,Host infested with adults,"Any SD, SE or CI given",Note on confidence,Same animals AH/AF,Same reference,Multiple species,Notes,Birds,HD
0859,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Tree pipit,Anthus trivialis,Bird,Scientific capturing,1,1,1.00,1,1.00,Yes,1,1.00,1,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0860,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Eurasian goldfinch,Carduelis carduelis,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0861,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,European greenfinch,Carduelis chloris,Bird,Scientific capturing,3,0,0.00,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0862,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Eurasian treecreeper,Certhia familiaris,Bird,Scientific capturing,6,0,0.00,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0863,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Hawfinch,Coccothraustes coccothraustes,Bird,Scientific capturing,23,15,0.65,78,3.39,Yes,33,1.43,11,45,1.96,14,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0864,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Great spotted woodpecker,Dendrocopos major,Bird,Scientific capturing,5,0,0.00,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0865,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Rock bunting,Emberiza cia,Bird,Scientific capturing,3,1,0.33,1,0.33,Yes,1,0.33,1,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0866,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Yellowhammer,Emberiza citrinella,Bird,Scientific capturing,4,1,0.25,2,0.50,Yes,0,0.00,0,2,0.50,1,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0867,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,European robin,Erithacus rubecula,Bird,Scientific capturing,34,20,0.58,127,3.74,Yes,107,3.15,17,20,0.59,14,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0868,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Collared flycatcher,Ficedula albicollis,Bird,Scientific capturing,2,0,0.00,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0869,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Common chaffinch,Fringilla coelebs,Bird,Scientific capturing,20,8,0.40,93,4.65,Yes,72,3.60,6,21,1.05,6,0,0.00,0,No,NA,No,NA,No,One juvenile chaffinch was extremely parasitized (68 ticks),Non-migrating birds,No
0870,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Eurasian jay,Garrulus glandarius,Bird,Scientific capturing,1,1,1.00,9,9.00,Yes,1,1.00,1,8,8.00,1,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0871,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Barn swallow,Hirundo rustica,Bird,Scientific capturing,6,0,0.00,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0872,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Red-backed shrike,Lanius collurio,Bird,Scientific capturing,9,2,0.22,3,0.33,Yes,0,0.00,0,3,0.33,2,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0873,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Common nightingale,Luscinia megarhynchos,Bird,Scientific capturing,7,6,0.87,17,2.43,Yes,8,1.14,4,9,1.29,4,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0874,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Spotted flycatcher,Muscicapa striata,Bird,Scientific capturing,6,1,0.17,1,0.17,Yes,0,0.00,0,1,0.17,1,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0875,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Blue tit,Cyanistes caeruleus,Bird,Scientific capturing,16,4,0.25,8,0.50,Yes,0,0.00,0,8,0.50,4,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0876,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Great tit,Parus major,Bird,Scientific capturing,61,23,0.37,75,1.23,Yes,40,0.66,13,35,0.57,16,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0877,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Willow tit,Poecile montanus,Bird,Scientific capturing,5,1,0.20,7,1.40,Yes,3,0.60,1,4,0.80,1,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
0878,"Taragelova et al., (2005)",214,"The Šúr Nature reserve ( 48?15 N, 17?13 E), Malacky (48?30 N, 17?08 E), Malacky (48?30 N, 17?08 E) and Brzotín (48?36N, 20?29E)",Slovakia,No,"Šúr: The vegetation is formed by the tree layer (mainly Acer campestre, A. platanoides, Aesculus hippocastanum, Carpinus betulus, Cerasus avium, Padus avium, Tilia cordata, T. platyphyllos, Quercus robur) and dense undergrowth (consisting of Sambucus nigra, Prunus spinosa, Crataegus monogyna, Rubus caesius and Ligustrum vulgare). Malacky: predominate  by Acer platanoides, A. campestre, Lonycera xylosteum, Populus alba, Padus avium, Tilia cordata and Sambucus nigra). Drienovec: The vegetation consists mainly of Salix cinerea, S. fragilis, S. caprea, Acer campestre, Prunus spinosa, Cornus mas, Ligustrum vulgare, Sambucus nigra and Berberis vulgaris. Brzotín: Bushy willows of the Calystegio-Salicetum triandrae association from the Salicion triandrae alliance (mainly Salix fragilis, S. triandra, S. viminalis) rimm the riverbank. The tree layer is formed by Fraxinus excelsior, Corylus avellana, Prunus spinosa, Alnus glutinosa and Cerasus avium.",March - November 2001 and April - October 2002,Marsh tit,Poecile palustris,Bird,Scientific capturing,22,8,0.35,10,0.45,Yes,4,0.18,2,6,0.27,6,0,0.00,0,No,NA,No,NA,No,,Non-migrating birds,No
